AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
28.0,1.0,18.0,5.0,7800.0,28.0,2.0,40.0,1.0,2.0,0.0
80.0,3.0,23.0,2.0,3870.0,28.0,0.0,40.0,1.0,1.0,0.0
25.0,2.0,17.0,5.0,4230.0,28.0,13.0,4.0,2.0,2.0,0.0
63.0,6.0,16.0,1.0,3602.0,28.0,1.0,20.0,2.0,1.0,0.0
57.0,1.0,20.0,1.0,20.0,28.0,0.0,40.0,1.0,1.0,1.0
51.0,3.0,19.0,1.0,3500.0,28.0,1.0,52.0,2.0,1.0,0.0
39.0,1.0,16.0,1.0,7840.0,28.0,10.0,44.0,1.0,2.0,0.0
18.0,1.0,18.0,5.0,4600.0,28.0,2.0,20.0,2.0,1.0,0.0
69.0,6.0,21.0,1.0,810.0,28.0,1.0,25.0,1.0,1.0,1.0
18.0,4.0,16.0,5.0,4110.0,28.0,17.0,30.0,2.0,2.0,0.0
36.0,3.0,20.0,4.0,3870.0,28.0,0.0,40.0,1.0,2.0,0.0
19.0,2.0,19.0,5.0,3960.0,28.0,17.0,8.0,1.0,2.0,0.0
29.0,4.0,21.0,5.0,2545.0,28.0,0.0,40.0,2.0,2.0,0.0
45.0,3.0,18.0,3.0,3820.0,26.0,0.0,42.0,1.0,1.0,0.0
29.0,1.0,14.0,3.0,4251.0,28.0,0.0,32.0,2.0,1.0,0.0
44.0,7.0,14.0,5.0,4230.0,28.0,0.0,30.0,2.0,2.0,0.0
56.0,6.0,1.0,4.0,4700.0,303.0,0.0,40.0,1.0,8.0,0.0
37.0,5.0,22.0,1.0,9810.0,28.0,0.0,40.0,1.0,1.0,0.0
56.0,1.0,19.0,1.0,6355.0,36.0,0.0,40.0,1.0,2.0,0.0
46.0,1.0,19.0,1.0,4850.0,303.0,0.0,80.0,1.0,8.0,0.0
76.0,7.0,16.0,1.0,4760.0,28.0,0.0,50.0,1.0,1.0,1.0
51.0,1.0,18.0,1.0,630.0,26.0,0.0,40.0,2.0,1.0,0.0
58.0,6.0,13.0,2.0,4230.0,28.0,0.0,25.0,2.0,1.0,0.0
43.0,1.0,14.0,1.0,9130.0,28.0,1.0,40.0,1.0,2.0,1.0
28.0,1.0,20.0,1.0,3255.0,28.0,1.0,40.0,2.0,1.0,0.0
63.0,1.0,1.0,1.0,8350.0,247.0,6.0,30.0,2.0,6.0,0.0
45.0,1.0,20.0,1.0,3255.0,45.0,0.0,36.0,1.0,1.0,1.0
39.0,2.0,22.0,1.0,2310.0,28.0,1.0,40.0,2.0,1.0,0.0
19.0,6.0,18.0,5.0,9130.0,28.0,17.0,24.0,1.0,1.0,0.0
57.0,1.0,18.0,4.0,3930.0,28.0,0.0,36.0,1.0,2.0,0.0
56.0,1.0,16.0,4.0,3602.0,28.0,0.0,40.0,2.0,2.0,0.0
51.0,1.0,10.0,5.0,8450.0,22.0,0.0,40.0,1.0,2.0,1.0
33.0,4.0,21.0,1.0,5165.0,47.0,0.0,40.0,2.0,1.0,0.0
46.0,1.0,16.0,1.0,7330.0,28.0,0.0,40.0,1.0,1.0,0.0
28.0,6.0,17.0,5.0,4510.0,28.0,0.0,34.0,2.0,2.0,0.0
70.0,1.0,22.0,1.0,4710.0,1.0,0.0,40.0,1.0,1.0,1.0
54.0,1.0,16.0,1.0,7810.0,28.0,1.0,60.0,1.0,2.0,1.0
49.0,1.0,21.0,1.0,8650.0,28.0,1.0,51.0,1.0,2.0,0.0
21.0,1.0,16.0,5.0,3655.0,12.0,2.0,28.0,2.0,1.0,0.0
70.0,1.0,19.0,4.0,5350.0,28.0,0.0,50.0,1.0,1.0,1.0
20.0,1.0,16.0,5.0,8800.0,28.0,2.0,40.0,2.0,2.0,0.0
35.0,4.0,21.0,5.0,2850.0,28.0,0.0,40.0,2.0,2.0,0.0
46.0,1.0,18.0,1.0,4760.0,28.0,0.0,86.0,1.0,1.0,1.0
37.0,1.0,21.0,1.0,800.0,28.0,0.0,40.0,1.0,1.0,1.0
26.0,4.0,16.0,5.0,2545.0,28.0,12.0,40.0,2.0,1.0,0.0
22.0,1.0,16.0,5.0,7750.0,28.0,2.0,40.0,1.0,1.0,0.0
53.0,1.0,17.0,1.0,4010.0,210.0,1.0,35.0,2.0,6.0,0.0
25.0,1.0,20.0,5.0,9610.0,28.0,2.0,40.0,1.0,1.0,0.0
18.0,6.0,16.0,5.0,4350.0,28.0,2.0,40.0,1.0,1.0,0.0
46.0,8.0,16.0,1.0,5860.0,47.0,0.0,20.0,2.0,1.0,0.0
29.0,1.0,21.0,1.0,440.0,28.0,1.0,40.0,1.0,1.0,1.0
42.0,6.0,18.0,1.0,7540.0,47.0,0.0,75.0,1.0,1.0,1.0
51.0,4.0,16.0,1.0,4251.0,13.0,0.0,20.0,1.0,1.0,0.0
73.0,6.0,21.0,1.0,4251.0,29.0,0.0,20.0,1.0,1.0,0.0
36.0,1.0,20.0,1.0,4600.0,233.0,1.0,30.0,2.0,6.0,0.0
29.0,1.0,20.0,5.0,4965.0,28.0,12.0,40.0,1.0,1.0,0.0
33.0,4.0,19.0,5.0,3603.0,48.0,0.0,40.0,2.0,2.0,0.0
65.0,1.0,19.0,1.0,20.0,28.0,1.0,54.0,1.0,1.0,1.0
39.0,1.0,19.0,1.0,3630.0,8.0,0.0,36.0,2.0,1.0,0.0
18.0,1.0,16.0,5.0,600.0,18.0,2.0,40.0,1.0,1.0,0.0
53.0,1.0,23.0,1.0,2100.0,28.0,0.0,40.0,1.0,1.0,1.0
77.0,7.0,23.0,1.0,3255.0,39.0,0.0,45.0,1.0,1.0,1.0
47.0,2.0,10.0,3.0,4120.0,28.0,15.0,30.0,1.0,2.0,0.0
30.0,2.0,21.0,5.0,410.0,12.0,12.0,45.0,1.0,1.0,0.0
47.0,1.0,21.0,1.0,40.0,22.0,0.0,40.0,1.0,1.0,1.0
63.0,4.0,22.0,1.0,150.0,28.0,0.0,20.0,1.0,1.0,1.0
24.0,1.0,16.0,5.0,4040.0,28.0,13.0,25.0,2.0,2.0,0.0
63.0,4.0,21.0,1.0,800.0,28.0,0.0,40.0,1.0,2.0,1.0
58.0,1.0,19.0,1.0,2145.0,22.0,0.0,45.0,2.0,1.0,1.0
20.0,1.0,19.0,5.0,4760.0,31.0,17.0,35.0,2.0,1.0,0.0
55.0,4.0,16.0,1.0,5740.0,48.0,0.0,40.0,2.0,1.0,0.0
24.0,1.0,21.0,5.0,735.0,110.0,0.0,45.0,1.0,1.0,1.0
58.0,5.0,21.0,1.0,5000.0,28.0,1.0,40.0,2.0,2.0,0.0
26.0,3.0,21.0,5.0,3255.0,28.0,2.0,48.0,2.0,2.0,1.0
59.0,4.0,16.0,2.0,5810.0,362.0,8.0,40.0,2.0,7.0,0.0
58.0,1.0,16.0,1.0,7330.0,47.0,0.0,40.0,1.0,1.0,1.0
68.0,1.0,19.0,1.0,220.0,28.0,0.0,50.0,1.0,1.0,1.0
38.0,1.0,21.0,3.0,3255.0,28.0,2.0,40.0,2.0,1.0,0.0
65.0,1.0,16.0,1.0,9130.0,28.0,0.0,40.0,1.0,2.0,0.0
19.0,1.0,18.0,5.0,4110.0,5.0,2.0,30.0,2.0,1.0,0.0
32.0,1.0,21.0,3.0,20.0,47.0,0.0,50.0,1.0,2.0,1.0
66.0,2.0,22.0,1.0,2040.0,1.0,1.0,40.0,1.0,1.0,1.0
19.0,1.0,19.0,5.0,4720.0,47.0,17.0,20.0,2.0,2.0,0.0
55.0,4.0,22.0,3.0,2310.0,28.0,0.0,40.0,2.0,2.0,1.0
31.0,4.0,21.0,5.0,2310.0,28.0,0.0,40.0,2.0,1.0,0.0
23.0,1.0,19.0,5.0,7750.0,28.0,2.0,40.0,2.0,2.0,0.0
25.0,1.0,12.0,3.0,6305.0,1.0,13.0,60.0,1.0,1.0,0.0
32.0,1.0,16.0,5.0,9620.0,5.0,13.0,40.0,1.0,1.0,0.0
58.0,3.0,20.0,1.0,810.0,28.0,0.0,40.0,1.0,1.0,0.0
60.0,4.0,16.0,1.0,6200.0,28.0,1.0,40.0,1.0,2.0,0.0
53.0,4.0,17.0,1.0,3870.0,28.0,1.0,40.0,1.0,2.0,0.0
61.0,4.0,19.0,1.0,2545.0,28.0,1.0,40.0,2.0,1.0,0.0
36.0,3.0,15.0,5.0,4655.0,28.0,4.0,30.0,1.0,1.0,0.0
54.0,4.0,22.0,1.0,335.0,6.0,1.0,50.0,1.0,1.0,1.0
70.0,1.0,20.0,1.0,4400.0,247.0,0.0,40.0,1.0,6.0,1.0
54.0,4.0,22.0,1.0,2310.0,28.0,1.0,40.0,2.0,1.0,1.0
70.0,4.0,21.0,1.0,2310.0,28.0,1.0,40.0,2.0,1.0,0.0
62.0,1.0,16.0,1.0,7150.0,28.0,1.0,40.0,1.0,2.0,1.0
40.0,1.0,16.0,1.0,5600.0,47.0,0.0,50.0,1.0,1.0,1.0
49.0,7.0,16.0,3.0,4700.0,28.0,2.0,40.0,1.0,1.0,0.0
81.0,2.0,22.0,2.0,3258.0,28.0,0.0,36.0,2.0,1.0,1.0
55.0,1.0,19.0,4.0,2145.0,28.0,0.0,40.0,2.0,1.0,0.0
23.0,5.0,21.0,5.0,9830.0,48.0,0.0,40.0,1.0,1.0,0.0
24.0,1.0,21.0,5.0,960.0,28.0,3.0,30.0,2.0,2.0,0.0
32.0,1.0,18.0,4.0,9620.0,24.0,2.0,20.0,1.0,2.0,0.0
33.0,1.0,24.0,5.0,3250.0,28.0,0.0,40.0,1.0,1.0,1.0
50.0,1.0,22.0,1.0,1108.0,47.0,1.0,50.0,1.0,1.0,1.0
36.0,1.0,19.0,1.0,5000.0,28.0,2.0,30.0,2.0,1.0,0.0
56.0,1.0,15.0,1.0,5350.0,28.0,0.0,40.0,1.0,2.0,0.0
41.0,1.0,20.0,1.0,205.0,28.0,0.0,72.0,1.0,1.0,0.0
41.0,1.0,18.0,1.0,7700.0,28.0,1.0,45.0,2.0,1.0,1.0
35.0,1.0,19.0,4.0,4110.0,47.0,0.0,20.0,2.0,1.0,0.0
63.0,1.0,19.0,1.0,8255.0,1.0,0.0,40.0,1.0,1.0,1.0
59.0,1.0,16.0,1.0,5400.0,13.0,0.0,50.0,2.0,1.0,0.0
22.0,1.0,15.0,5.0,6260.0,47.0,13.0,35.0,1.0,1.0,0.0
42.0,7.0,15.0,3.0,205.0,247.0,2.0,56.0,1.0,6.0,0.0
61.0,1.0,13.0,1.0,8140.0,28.0,0.0,48.0,1.0,2.0,0.0
28.0,6.0,17.0,5.0,6260.0,28.0,2.0,25.0,1.0,1.0,0.0
60.0,5.0,20.0,1.0,5550.0,17.0,1.0,8.0,2.0,1.0,0.0
29.0,1.0,16.0,1.0,52.0,48.0,1.0,40.0,2.0,1.0,0.0
31.0,2.0,15.0,5.0,8990.0,6.0,12.0,6.0,1.0,1.0,0.0
40.0,1.0,16.0,3.0,4700.0,28.0,4.0,45.0,1.0,1.0,0.0
66.0,4.0,21.0,3.0,2025.0,28.0,0.0,40.0,2.0,2.0,0.0
35.0,1.0,16.0,4.0,3500.0,28.0,2.0,40.0,1.0,1.0,0.0
52.0,1.0,17.0,3.0,8530.0,28.0,5.0,40.0,1.0,1.0,0.0
24.0,1.0,18.0,5.0,4040.0,1.0,13.0,30.0,2.0,1.0,0.0
61.0,7.0,16.0,1.0,5000.0,26.0,1.0,40.0,2.0,1.0,0.0
28.0,1.0,19.0,1.0,6200.0,47.0,1.0,40.0,1.0,1.0,0.0
59.0,1.0,19.0,1.0,4700.0,28.0,0.0,53.0,1.0,2.0,0.0
42.0,1.0,16.0,1.0,6442.0,17.0,1.0,36.0,1.0,1.0,0.0
44.0,1.0,16.0,1.0,6200.0,28.0,1.0,40.0,1.0,2.0,0.0
26.0,1.0,10.0,3.0,6305.0,28.0,2.0,40.0,1.0,1.0,0.0
51.0,5.0,21.0,1.0,2360.0,28.0,0.0,40.0,1.0,2.0,1.0
64.0,6.0,20.0,1.0,7200.0,28.0,1.0,40.0,1.0,2.0,1.0
19.0,1.0,19.0,5.0,5740.0,47.0,2.0,12.0,2.0,1.0,0.0
29.0,1.0,17.0,5.0,8450.0,28.0,0.0,40.0,1.0,1.0,0.0
43.0,6.0,19.0,1.0,4251.0,28.0,1.0,40.0,1.0,1.0,0.0
38.0,1.0,13.0,1.0,9130.0,28.0,1.0,40.0,1.0,1.0,0.0
28.0,1.0,21.0,5.0,4040.0,22.0,0.0,40.0,1.0,1.0,0.0
36.0,1.0,20.0,1.0,3255.0,28.0,1.0,45.0,2.0,1.0,1.0
47.0,1.0,20.0,1.0,7700.0,28.0,0.0,50.0,1.0,1.0,1.0
30.0,2.0,21.0,5.0,2722.0,21.0,12.0,55.0,2.0,1.0,0.0
72.0,5.0,24.0,1.0,3090.0,126.0,0.0,40.0,1.0,2.0,1.0
66.0,6.0,23.0,1.0,1560.0,28.0,0.0,36.0,1.0,1.0,1.0
43.0,1.0,20.0,5.0,3255.0,26.0,2.0,80.0,2.0,2.0,1.0
62.0,1.0,16.0,1.0,9310.0,28.0,0.0,48.0,1.0,1.0,1.0
66.0,1.0,18.0,3.0,5840.0,48.0,13.0,40.0,2.0,1.0,0.0
46.0,1.0,17.0,1.0,3930.0,28.0,1.0,40.0,1.0,1.0,0.0
18.0,1.0,14.0,5.0,3960.0,28.0,2.0,20.0,1.0,1.0,0.0
66.0,1.0,1.0,1.0,4251.0,303.0,8.0,25.0,1.0,8.0,0.0
24.0,1.0,19.0,5.0,9130.0,22.0,2.0,20.0,1.0,1.0,0.0
24.0,4.0,19.0,5.0,2205.0,13.0,0.0,20.0,2.0,1.0,0.0
39.0,1.0,16.0,1.0,7750.0,28.0,1.0,40.0,1.0,2.0,0.0
53.0,4.0,19.0,1.0,3870.0,28.0,0.0,40.0,2.0,1.0,0.0
41.0,1.0,21.0,5.0,1021.0,47.0,2.0,45.0,1.0,1.0,1.0
47.0,1.0,21.0,1.0,1360.0,28.0,0.0,40.0,1.0,1.0,1.0
55.0,4.0,22.0,1.0,1220.0,28.0,1.0,40.0,1.0,1.0,1.0
38.0,1.0,21.0,1.0,800.0,28.0,1.0,40.0,1.0,1.0,1.0
33.0,1.0,19.0,1.0,9130.0,42.0,0.0,28.0,1.0,1.0,0.0
29.0,1.0,13.0,5.0,6200.0,50.0,0.0,40.0,1.0,1.0,0.0
37.0,1.0,20.0,1.0,4110.0,28.0,16.0,30.0,2.0,1.0,0.0
44.0,1.0,20.0,3.0,3930.0,28.0,0.0,40.0,1.0,2.0,0.0
59.0,5.0,19.0,1.0,3500.0,28.0,1.0,40.0,2.0,2.0,1.0
22.0,1.0,15.0,5.0,9620.0,47.0,3.0,25.0,1.0,1.0,0.0
19.0,1.0,18.0,5.0,4110.0,28.0,2.0,45.0,1.0,1.0,0.0
21.0,8.0,19.0,5.0,6600.0,28.0,2.0,20.0,1.0,2.0,0.0
51.0,6.0,16.0,1.0,7315.0,28.0,0.0,30.0,1.0,1.0,0.0
62.0,5.0,21.0,1.0,1551.0,1.0,1.0,40.0,1.0,2.0,1.0
69.0,1.0,19.0,3.0,2360.0,22.0,0.0,25.0,1.0,1.0,0.0
26.0,1.0,16.0,5.0,310.0,28.0,0.0,40.0,2.0,2.0,0.0
58.0,1.0,21.0,1.0,3255.0,28.0,0.0,40.0,2.0,1.0,1.0
62.0,4.0,21.0,1.0,5000.0,28.0,0.0,40.0,1.0,1.0,1.0
40.0,1.0,16.0,1.0,6050.0,28.0,1.0,60.0,1.0,8.0,0.0
60.0,3.0,16.0,1.0,4710.0,28.0,0.0,40.0,1.0,1.0,1.0
56.0,1.0,17.0,1.0,4700.0,28.0,1.0,40.0,1.0,1.0,0.0
38.0,6.0,17.0,5.0,4251.0,6.0,0.0,32.0,1.0,2.0,0.0
59.0,1.0,16.0,1.0,8130.0,28.0,0.0,50.0,1.0,1.0,1.0
35.0,1.0,22.0,1.0,2205.0,8.0,0.0,30.0,2.0,1.0,1.0
20.0,1.0,19.0,5.0,4760.0,28.0,2.0,40.0,2.0,1.0,0.0
24.0,1.0,16.0,5.0,4720.0,28.0,0.0,30.0,2.0,2.0,0.0
54.0,1.0,16.0,3.0,9620.0,28.0,13.0,55.0,2.0,1.0,0.0
61.0,1.0,1.0,1.0,9130.0,28.0,0.0,50.0,1.0,1.0,1.0
58.0,1.0,17.0,1.0,205.0,28.0,0.0,45.0,1.0,1.0,1.0
22.0,1.0,19.0,5.0,4760.0,45.0,17.0,20.0,1.0,9.0,0.0
45.0,7.0,22.0,1.0,1825.0,36.0,1.0,60.0,2.0,8.0,1.0
52.0,1.0,17.0,5.0,4220.0,28.0,0.0,40.0,2.0,2.0,0.0
46.0,1.0,19.0,1.0,350.0,28.0,0.0,40.0,2.0,2.0,0.0
39.0,1.0,19.0,3.0,5740.0,28.0,13.0,25.0,2.0,1.0,0.0
60.0,1.0,22.0,1.0,1108.0,303.0,0.0,42.0,1.0,1.0,1.0
61.0,5.0,19.0,1.0,9410.0,48.0,0.0,40.0,1.0,1.0,1.0
41.0,1.0,12.0,1.0,4220.0,17.0,0.0,30.0,1.0,2.0,0.0
32.0,4.0,21.0,5.0,5240.0,22.0,0.0,40.0,1.0,2.0,0.0
71.0,2.0,22.0,1.0,2751.0,28.0,0.0,20.0,1.0,1.0,0.0
17.0,1.0,13.0,5.0,9645.0,28.0,2.0,20.0,1.0,1.0,0.0
17.0,1.0,13.0,5.0,4720.0,28.0,3.0,20.0,2.0,1.0,0.0
71.0,1.0,17.0,5.0,4220.0,28.0,0.0,35.0,2.0,2.0,0.0
36.0,1.0,21.0,5.0,1050.0,28.0,2.0,45.0,1.0,1.0,0.0
61.0,1.0,22.0,1.0,3258.0,28.0,0.0,35.0,1.0,1.0,1.0
60.0,2.0,24.0,1.0,2205.0,39.0,1.0,50.0,1.0,1.0,0.0
50.0,1.0,20.0,3.0,4810.0,28.0,0.0,41.0,2.0,1.0,0.0
27.0,1.0,16.0,1.0,40.0,28.0,1.0,40.0,2.0,1.0,0.0
39.0,3.0,21.0,5.0,2006.0,28.0,2.0,20.0,2.0,2.0,0.0
19.0,5.0,19.0,5.0,9825.0,36.0,17.0,40.0,1.0,1.0,0.0
51.0,1.0,18.0,1.0,5120.0,37.0,0.0,40.0,2.0,1.0,0.0
26.0,2.0,19.0,5.0,3603.0,28.0,0.0,32.0,2.0,2.0,0.0
47.0,1.0,16.0,1.0,5630.0,28.0,1.0,50.0,1.0,2.0,0.0
47.0,6.0,20.0,3.0,6355.0,28.0,0.0,40.0,1.0,1.0,0.0
40.0,2.0,22.0,1.0,3255.0,1.0,0.0,50.0,1.0,1.0,1.0
51.0,1.0,21.0,3.0,2360.0,28.0,6.0,40.0,2.0,2.0,0.0
62.0,2.0,16.0,1.0,2905.0,17.0,1.0,50.0,2.0,1.0,0.0
59.0,2.0,21.0,3.0,2012.0,17.0,0.0,40.0,2.0,2.0,0.0
54.0,1.0,21.0,3.0,9640.0,28.0,5.0,40.0,1.0,2.0,0.0
46.0,1.0,16.0,1.0,5120.0,47.0,0.0,48.0,2.0,1.0,0.0
31.0,1.0,16.0,5.0,8140.0,17.0,2.0,40.0,1.0,2.0,0.0
54.0,4.0,22.0,1.0,2310.0,28.0,0.0,40.0,2.0,1.0,0.0
45.0,1.0,17.0,1.0,7220.0,28.0,1.0,80.0,1.0,2.0,0.0
65.0,1.0,16.0,3.0,4760.0,28.0,5.0,29.0,1.0,1.0,0.0
24.0,1.0,19.0,5.0,9645.0,28.0,12.0,40.0,1.0,2.0,0.0
30.0,2.0,21.0,1.0,565.0,5.0,1.0,40.0,1.0,1.0,0.0
49.0,1.0,16.0,1.0,7750.0,28.0,1.0,40.0,1.0,1.0,0.0
26.0,1.0,21.0,5.0,800.0,28.0,7.0,32.0,2.0,2.0,1.0
45.0,1.0,16.0,1.0,9130.0,28.0,1.0,40.0,2.0,2.0,0.0
25.0,1.0,16.0,1.0,8810.0,28.0,1.0,40.0,1.0,1.0,0.0
49.0,4.0,21.0,1.0,1600.0,28.0,1.0,40.0,1.0,1.0,0.0
39.0,1.0,21.0,1.0,3255.0,28.0,1.0,40.0,2.0,1.0,0.0
53.0,1.0,12.0,4.0,4110.0,22.0,0.0,37.0,2.0,1.0,0.0
33.0,4.0,16.0,1.0,8610.0,12.0,1.0,40.0,1.0,1.0,0.0
65.0,3.0,21.0,3.0,3300.0,28.0,0.0,8.0,1.0,1.0,1.0
22.0,2.0,20.0,5.0,3255.0,28.0,2.0,40.0,2.0,1.0,0.0
78.0,6.0,16.0,1.0,6260.0,28.0,1.0,8.0,1.0,2.0,0.0
66.0,2.0,22.0,3.0,350.0,28.0,0.0,40.0,2.0,1.0,1.0
57.0,1.0,18.0,1.0,220.0,28.0,1.0,65.0,1.0,1.0,1.0
66.0,1.0,16.0,1.0,1551.0,28.0,0.0,40.0,1.0,1.0,1.0
45.0,1.0,20.0,1.0,4600.0,28.0,1.0,30.0,2.0,2.0,0.0
60.0,1.0,18.0,3.0,1900.0,28.0,0.0,40.0,2.0,1.0,1.0
47.0,1.0,16.0,1.0,5120.0,26.0,1.0,40.0,2.0,1.0,0.0
29.0,1.0,21.0,5.0,3550.0,28.0,2.0,40.0,1.0,2.0,1.0
56.0,4.0,18.0,1.0,110.0,28.0,0.0,40.0,1.0,1.0,1.0
53.0,1.0,21.0,3.0,530.0,28.0,2.0,45.0,1.0,1.0,0.0
20.0,1.0,19.0,5.0,4020.0,28.0,2.0,14.0,1.0,1.0,0.0
49.0,6.0,18.0,3.0,4600.0,28.0,0.0,20.0,2.0,2.0,0.0
34.0,4.0,21.0,4.0,2014.0,28.0,2.0,40.0,1.0,2.0,0.0
61.0,1.0,18.0,3.0,5360.0,18.0,0.0,40.0,2.0,1.0,0.0
63.0,6.0,18.0,1.0,6410.0,6.0,1.0,40.0,1.0,1.0,0.0
52.0,1.0,19.0,1.0,9620.0,28.0,0.0,60.0,1.0,1.0,1.0
58.0,4.0,21.0,1.0,2910.0,28.0,0.0,40.0,2.0,1.0,0.0
23.0,1.0,21.0,5.0,1460.0,28.0,2.0,40.0,1.0,1.0,0.0
20.0,1.0,18.0,5.0,4030.0,28.0,4.0,25.0,1.0,2.0,0.0
50.0,3.0,16.0,1.0,5220.0,47.0,0.0,35.0,2.0,2.0,0.0
42.0,7.0,21.0,1.0,205.0,28.0,1.0,70.0,1.0,1.0,0.0
66.0,1.0,18.0,3.0,3500.0,28.0,0.0,38.0,2.0,2.0,0.0
53.0,2.0,18.0,3.0,2300.0,28.0,0.0,40.0,2.0,2.0,0.0
60.0,1.0,16.0,1.0,120.0,28.0,1.0,50.0,2.0,1.0,0.0
34.0,1.0,15.0,1.0,7340.0,17.0,1.0,45.0,1.0,1.0,0.0
62.0,4.0,19.0,1.0,5740.0,28.0,0.0,40.0,2.0,2.0,0.0
32.0,1.0,16.0,1.0,8140.0,28.0,1.0,40.0,1.0,1.0,1.0
30.0,1.0,17.0,5.0,7200.0,28.0,13.0,45.0,1.0,9.0,0.0
61.0,3.0,16.0,3.0,2100.0,28.0,0.0,50.0,2.0,2.0,0.0
60.0,4.0,22.0,1.0,110.0,28.0,0.0,40.0,2.0,2.0,1.0
20.0,1.0,19.0,5.0,4760.0,28.0,2.0,40.0,2.0,1.0,0.0
55.0,1.0,15.0,1.0,9130.0,28.0,0.0,60.0,1.0,1.0,1.0
17.0,1.0,14.0,5.0,4720.0,28.0,2.0,12.0,1.0,2.0,0.0
63.0,3.0,16.0,1.0,7000.0,12.0,0.0,40.0,1.0,1.0,0.0
43.0,1.0,21.0,1.0,1420.0,28.0,0.0,50.0,1.0,1.0,1.0
38.0,1.0,18.0,1.0,7000.0,17.0,1.0,50.0,1.0,1.0,1.0
27.0,1.0,20.0,1.0,3255.0,28.0,1.0,40.0,1.0,1.0,1.0
53.0,1.0,12.0,1.0,8140.0,28.0,1.0,50.0,1.0,1.0,0.0
55.0,1.0,20.0,1.0,5740.0,28.0,0.0,55.0,2.0,1.0,1.0
33.0,1.0,16.0,1.0,4700.0,22.0,1.0,20.0,2.0,2.0,0.0
56.0,4.0,19.0,1.0,3930.0,28.0,1.0,40.0,1.0,2.0,1.0
41.0,1.0,20.0,1.0,3323.0,28.0,1.0,80.0,2.0,1.0,0.0
34.0,1.0,16.0,1.0,7140.0,28.0,0.0,40.0,1.0,1.0,1.0
62.0,6.0,16.0,1.0,4700.0,28.0,0.0,90.0,1.0,1.0,0.0
63.0,1.0,21.0,1.0,6050.0,28.0,1.0,40.0,1.0,2.0,0.0
30.0,1.0,19.0,3.0,9130.0,28.0,15.0,40.0,1.0,1.0,0.0
52.0,3.0,21.0,1.0,3402.0,47.0,0.0,72.0,1.0,1.0,1.0
41.0,1.0,19.0,1.0,8500.0,28.0,1.0,40.0,1.0,1.0,0.0
32.0,2.0,22.0,1.0,630.0,28.0,1.0,10.0,2.0,1.0,0.0
50.0,1.0,20.0,1.0,4400.0,28.0,0.0,29.0,2.0,1.0,0.0
58.0,1.0,16.0,3.0,8740.0,28.0,0.0,40.0,1.0,1.0,0.0
42.0,1.0,20.0,1.0,6200.0,28.0,0.0,50.0,1.0,1.0,0.0
48.0,6.0,16.0,5.0,7200.0,28.0,0.0,20.0,1.0,2.0,0.0
